time,open,high,low,close,Volume
1733321100,95648,95648,95539.87,95587.99,49.39766
1733321160,95588,95664,95587.99,95642.01,13.42187
1733321220,95642.01,95724,95642,95704.02,16.69932
1733321280,95704.02,95722.12,95679.63,95680,8.77429
1733321340,95680.01,95680.01,95568.01,95624,21.18305
1733321400,95624,95656,95532.9,95532.9,42.21382
1733321460,95532.9,95579.99,95520,95550.18,32.95396
1733321520,95550.19,95614.5,95550.19,95586.43,18.21798
1733321580,95586.42,95586.43,95508.03,95582.58,31.31699
1733321640,95582.57,95582.58,95469.74,95507.98,37.30027
1733321700,95507.98,95531.07,95456.37,95523.82,23.96106
1733321760,95523.83,95586.09,95514.27,95586.08,15.16679
1733321820,95586.09,95643.99,95576.39,95632,40.60296
1733321880,95631.99,95632,95569.67,95572.84,35.64469
1733321940,95572.84,95633.71,95550.5,95633.71,18.27923
1733322000,95633.71,95650,95588.19,95649.99,19.87203
1733322060,95649.99,95714.53,95639.22,95714.52,15.3487
1733322120,95714.53,95714.53,95685.85,95714.21,15.36253
1733322180,95714.21,95719.22,95692.87,95692.87,13.59995
1733322240,95692.88,95777.77,95692.87,95777.53,30.26409
1733322300,95777.53,95791.7,95750.01,95759.37,18.88676
1733322360,95759.37,95780,95759.37,95780,7.42265
1733322420,95780,95800.06,95777.77,95777.78,26.62243
1733322480,95777.77,95819.52,95755.06,95819.51,17.53604
1733322540,95819.52,95819.52,95780.67,95780.68,21.86242
1733322600,95780.68,95785,95738.02,95751.6,33.31714
1733322660,95751.6,95751.61,95693.05,95693.05,38.78345
1733322720,95693.05,96007.99,95693.05,95960.79,54.25539
1733322780,95960.78,96148,95960.78,96145.33,65.43948
1733322840,96145.32,96244.16,96145.32,96244.15,82.02599
1733322900,96244.15,96351.98,96179.82,96351.9,59.67799
1733322960,96351.9,96373.76,96276.54,96315.99,80.70845
1733323020,96315.99,96316,96216,96233.89,35.54325
1733323080,96233.89,96290,96229.24,96288.85,40.87461
1733323140,96288.85,96450,96270.09,96444,75.37998
1733323200,96444,96527.74,96412.69,96508.01,48.25129
1733323260,96508.01,96508.01,96394.99,96457.1,53.42121
1733323320,96457.1,96560,96420.14,96478.42,49.61731
1733323380,96478.42,96486.93,96353.3,96353.3,45.8631
1733323440,96353.3,96381.65,96336.04,96349.2,41.62059
1733323500,96349.2,96358.54,96124,96137.1,56.2734
1733323560,96137.1,96222.22,96097.39,96115.99,57.69163
1733323620,96116,96235.47,96086.09,96200.03,61.55882
1733323680,96200.02,96200.03,96076.01,96130.37,45.74483
1733323740,96130.36,96284,96114.49,96266.35,36.8134
1733323800,96266.35,96377.54,96060,96172,48.55496
1733323860,96172,96172,96000,96030.43,66.80116
1733323920,96030.43,96148,96018.87,96126.98,25.58998
1733323980,96126.98,96218,96126.98,96196.02,28.54627
1733324040,96196.01,96218,96130.62,96138.59,39.01951
1733324100,96138.59,96218,96082,96215.99,36.43933
1733324160,96216,96232,96000,96056.14,126.33522
1733324220,96056.13,96077.51,95916.61,96010.69,61.39767
1733324280,96010.69,96026.57,95978.55,96021.21,24.88901
1733324340,96021.2,96021.21,95784.26,95822.99,153.87232
1733324400,95822.99,95823,95500,95644.84,203.19382
1733324460,95644.84,95663.79,95411.47,95607.99,94.23187
1733324520,95608,95822.28,95576.92,95822.28,86.85989
1733324580,95822.28,95926.81,95805.35,95829.14,59.13314
1733324640,95829.13,95943.76,95825.34,95899.98,49.42036
1733324700,95899.98,96008.4,95828,96004.01,71.40127
1733324760,96004.01,96169.04,95979.6,96116.75,43.19106
1733324820,96116.74,96169.04,96115.28,96166.24,38.39751
1733324880,96166.24,96185.55,96126.98,96166.78,28.72155
1733324940,96166.77,96166.77,96025.37,96099.76,32.82421
1733325000,96099.76,96386.2,96099.76,96312.5,80.0711
1733325060,96312.51,96348,96284.16,96312.01,54.67759
1733325120,96312.01,96346.77,96202.02,96216,30.79561
1733325180,96216,96249.8,96108.94,96108.95,36.30545
1733325240,96108.95,96126.99,96017.12,96044.01,26.84924
1733325300,96044.01,96046.51,95936.51,95936.51,46.12548
1733325360,95936.52,95936.52,95850.01,95879.99,36.0578
1733325420,95880,95955.07,95815.99,95867.98,32.60699
1733325480,95867.98,95938.12,95807.47,95851.24,48.0917
1733325540,95851.25,95936.51,95841.26,95897.71,18.5075
1733325600,95897.71,96011.99,95884.17,95912.64,40.21096
1733325660,95912.65,95996,95884.28,95928.27,32.08268
1733325720,95928.27,96049.99,95921.28,96015.51,25.96929
1733325780,96015.51,96056.9,95904.01,95979.99,27.44146
1733325840,95979.99,96027.99,95939.4,95998.99,27.98761
1733325900,95998.99,96134.6,95993.01,96105.48,43.49488
1733325960,96105.49,96212.87,96105.48,96112.13,54.16952
1733326020,96112.12,96176,96100,96108,45.36446
1733326080,96108,96159.98,96054.52,96085.51,46.09471
1733326140,96085.52,96124.33,96080,96094.73,27.80465
1733326200,96094.74,96154.52,95950.85,95971.99,51.7438
1733326260,95971.99,96043.37,95936.48,95986.39,37.65143
1733326320,95986.39,96095.24,95974.45,96032.01,100.09257
1733326380,96032,96056,95841.26,95890.41,86.15686
1733326440,95890.41,95936.9,95850.76,95923.81,33.28842
1733326500,95923.8,96080,95910.7,96049.52,115.00621
1733326560,96049.53,96094.5,96009.48,96052.92,68.81705
1733326620,96052.92,96061.15,95942,95955.3,55.77008
1733326680,95954.64,95954.64,95815.35,95815.36,30.48827
1733326740,95815.35,95862.74,95738.53,95862.74,97.71301
1733326800,95862.74,95952,95860.48,95928,63.42961
1733326860,95928,95973.24,95904.76,95940.01,21.91572
1733326920,95940.01,95940.01,95850.47,95865.37,20.9452
1733326980,95865.36,95940,95850.47,95924.24,35.01239
1733327040,95924.23,95968.26,95913.48,95928.03,21.79319
1733327100,95928.03,96022.47,95900,96022.47,37.44267
1733327160,96022.47,96179.99,96022.46,96176,87.54649
1733327220,96176.01,96176.01,95985.62,95985.63,29.32558
1733327280,95985.63,96031.74,95942.25,95983.04,36.81874
1733327340,95983.05,96028,95936.5,95976,22.47551
1733327400,95976,95979.99,95884.28,95895.12,40.09568
1733327460,95895.13,95916,95712.7,95736.8,83.00839
1733327520,95736.81,95793.22,95682,95777.78,24.65529
1733327580,95777.78,95813.58,95735.77,95751.98,48.48496
1733327640,95751.98,95791.51,95736,95759.66,19.76546
1733327700,95759.66,95803.96,95722,95775.93,30.04789
1733327760,95775.94,95775.94,95650,95660.88,46.10978
1733327820,95660.87,95762.61,95640.32,95751.12,24.01903
1733327880,95751.13,95779.98,95662,95682.6,17.33446
1733327940,95682.6,95742.81,95660.01,95742.81,14.62443
1733328000,95742.8,95755.83,95700,95701.35,30.95649
1733328060,95701.36,95777.78,95624.04,95777.78,39.67097
1733328120,95777.77,95820,95640.89,95640.89,27.63225
1733328180,95640.9,95691.7,95593.73,95593.74,19.72403
1733328240,95593.74,95603.98,95508.06,95563.96,30.76367
1733328300,95563.96,95563.97,95465,95489.92,48.25513
1733328360,95489.92,95535.31,95459,95535.3,30.12668
1733328420,95535.3,95567.29,95460.64,95524.01,33.22378
1733328480,95524.01,95525.67,95443,95443,21.71544
1733328540,95443.01,95443.01,95220.88,95312,74.10229
1733328600,95312,95312.35,95244.03,95279.99,33.31408
1733328660,95279.98,95314.66,95168.05,95238.1,70.41107
1733328720,95238.09,95328.22,95238.09,95326.5,29.51318
1733328780,95327.05,95399.1,95290.47,95290.47,69.36949
1733328840,95290.47,95290.48,95199.02,95203.5,59.15191
1733328900,95203.51,95308.22,95203.5,95230.01,62.95871
1733328960,95230,95230.01,95100.3,95132.46,73.27048
1733329020,95132.46,95132.47,95024.43,95064.01,91.3104
1733329080,95064,95082.96,95010,95052.02,159.00711
1733329140,95052.01,95136.1,95036.01,95122.22,46.3344
1733329200,95122.22,95238.1,95000,95220.61,187.68807
1733329260,95220.61,95276.16,95081.49,95271.99,73.50207
1733329320,95271.99,95272,95120,95137.94,52.43022
1733329380,95137.93,95183.16,95056.01,95056.02,45.89978
1733329440,95056.01,95058.64,94906.76,94947.67,90.56275
1733329500,94947.67,94964.76,94860,94929.99,73.09909
1733329560,94930,95067.11,94893.35,95067.1,89.5742
1733329620,95067.11,95104.71,94984.12,94984.13,55.5509
1733329680,94984.13,95099.99,94955.27,95099.99,27.16893
1733329740,95100,95100,95004,95004.01,35.72272
1733329800,95004,95032,94902.69,95031.99,47.80144
1733329860,95032,95170.43,94703.16,95100,198.52849
1733329920,95099.99,95178.13,94923.68,95064,113.92171
1733329980,95064,95206.35,95033.1,95188,57.67671
1733330040,95188.01,95253.54,95148,95180.68,44.0479
1733330100,95180.67,95180.67,95023.56,95068.17,37.52194
1733330160,95068.16,95130.7,94986.4,94986.4,60.61568
1733330220,94986.4,95054.95,94933.42,95016.02,45.04045
1733330280,95016.02,95140,94936.68,95114.22,58.37847
1733330340,95114.23,95146.19,94994.4,95019.57,32.8807
1733330400,95019.56,95019.57,94875.24,94891.98,31.16105
1733330460,94891.97,94920.64,94848.13,94872.26,34.46138
1733330520,94872.26,94872.27,94818.18,94825.41,30.48411
1733330580,94825.41,94864.52,94773.22,94841.34,54.33997
1733330640,94841.34,94867.87,94833.33,94855.67,27.39995
1733330700,94855.68,94916.41,94788.01,94898.11,41.08912
1733330760,94898.12,94911.99,94716,94786.01,50.59676
1733330820,94786,94907.84,94786,94897.99,26.37462
1733330880,94897.99,94935.66,94755.79,94755.8,60.61568
1733330940,94755.79,94919.2,94755.79,94839.63,58.84273
1733331000,94839.63,94839.64,94620.01,94664.52,157.67638
1733331060,94664.52,94685.85,94588.23,94604.66,60.09511
1733331120,94604.66,94725.99,94587.83,94711.98,53.58176
1733331180,94711.98,94856.75,94692.03,94847.99,49.16465
1733331240,94848,94950,94790.32,94940.01,58.33788
1733331300,94940,94973.88,94922.63,94968.72,25.91889
1733331360,94968.72,94984.13,94830.05,94864,62.10559
1733331420,94863.99,95000,94847.81,94951.99,49.26885
1733331480,94952,94962.43,94865.96,94902.55,41.93505
1733331540,94902.55,94945.12,94847.81,94847.81,31.39846
1733331600,94847.81,94945,94785.26,94930.52,137.26149
1733331660,94930.52,95060.74,94917.43,95050.67,74.95994
1733331720,95050.68,95085.97,95000.01,95085.97,30.72654
1733331780,95085.97,95099.98,95013.11,95026.01,30.14143
1733331840,95026.02,95142.04,95016.63,95081.89,31.00773
1733331900,95081.88,95081.89,94889.88,94889.88,26.77377
1733331960,94889.89,94947.96,94751.85,94751.86,30.6755
1733332020,94751.85,94809.7,94723.24,94809.7,26.68046
1733332080,94809.69,94888,94776.51,94873.53,25.42492
1733332140,94873.53,94888,94752,94767.99,20.79246
1733332200,94768,94859.48,94704.31,94814.48,26.50883
1733332260,94814.48,94828.88,94700.02,94749.99,29.866
1733332320,94749.99,94778.56,94685.51,94685.71,28.51833
1733332380,94685.7,94876.44,94685.7,94876.43,16.49024
1733332440,94876.43,94876.44,94793.69,94808.81,28.38144
